issue,url,title,state,created,closed,labels,thread_type,verdict,duplicate_of,n_causes,cause_ids,categories,strengths,evidence_kinds,n_ruled_out,ruled_out_findings,summary,evidence
108,https://github.com/mrdoob/three.js/issues/108,WebGLRenderer renders slower than CanvasRenderer,CLOSED,2011-02-02,2011-02-04,Question,perf_question_or_help,cause_established,,2,DCO-01; GBU-01,draw_call_overhead; geometry_buffer_updates,measured; reporter_asserted,observed_cost; observed_cost,0,,WebGLRenderer slower than CanvasRenderer with 1000 cubes; cause is one draw call per mesh — merging geometry into one mesh gave 10000 cubes at 85fps.,"flexelektro: ""i now achieved to run 10000 boxes with webgl with 85fps."" || flexelektro: ""yes, as expected its also very slow. 4ps at 1000 objects."""
143,https://github.com/mrdoob/three.js/issues/143,How to use Blender export script?,CLOSED,2011-03-27,2011-03-29,Question,other_nonperf,incidental,,0,,,,,0,,Blender exporter installation help; 'bad performance' only appears inside a pasted Blender addon warning string.,
151,https://github.com/mrdoob/three.js/issues/151,Transparent canvas texture background,CLOSED,2011-03-30,2011-04-01,Question,correctness_bug,incidental,,0,,,,,0,,Transparent canvas texture background; fixed by explicit transparent flag and sorting. A later aside asks whether depthTest vs depthWrite has a perf difference; never answered with a mechanism.,
154,https://github.com/mrdoob/three.js/issues/154,JSONLoader.js transparent texture,CLOSED,2011-04-03,2011-04-10,Question,perf_question_or_help,cause_established,,1,TS-05,transparency_sorting,maintainer_confirmed,hypothetical,0,,"Transparent texture artifacts in WebGL; explained as lack of per-triangle depth sorting, which would be prohibitively expensive in JS.","alteredq: ""performance would go down the drain as sorting has to be done in JavaScript and also in each frame WebGL buffers would have to be reset"""
161,https://github.com/mrdoob/three.js/issues/161,Questions regarding the ParticleSystem (WebGL),CLOSED,2011-04-05,2011-04-06,Question,perf_question_or_help,cause_asserted_unverified,,1,DCO-04,draw_call_overhead,reporter_asserted,observed_cost,0,,Per-particle textures/sizes not supported; workaround of one ParticleSystem per particle kills performance for 7000 particles.,"""Unfortunately I have over 7000 particles, and that basically kills the performance if I do it that way"""
162,https://github.com/mrdoob/three.js/issues/162,SVGRenderer WebGLrenders and textures,CLOSED,2011-04-05,2011-04-06,Question,perf_question_or_help,incidental,,0,,,,,0,,Texture/text not rendering in WebGL; needsUpdate misuse and Particle unsupported in WebGLRenderer. ParticleSystem's batched structure cited as the performance reason.,
167,https://github.com/mrdoob/three.js/issues/167,Question about performance tuning,CLOSED,2011-04-09,2011-04-12,Question,perf_question_or_help,cause_established,,4,MWU-02; DCO-04; GBU-04; LUU-04,matrix_world_updates; draw_call_overhead; geometry_buffer_updates; lights_uniforms_ubo,maintainer_confirmed; maintainer_confirmed; maintainer_confirmed; speculative,proposed_optimization; observed_cost; observed_cost; proposed_optimization,0,,"Large 3D graph perf tuning: per-object matrix auto-update, one ParticleSystem/Line per element, and lack of dynamic geometry growth support.","mrdoob: ""If an mesh position is not going to change you can disable the matrix computation"" || alteredq: ""it seems you add each point as a single `ParticleSystem` and each line as separate `Line`"" || alteredq: ""For dynamically growing geometries new buffers will need to get allocated, which is going to be slow"" || alteredq: ""you can try directional ones, these should be somehow cheaper than point lights"""
174,https://github.com/mrdoob/three.js/issues/174,Uncaught ReferenceError: requestAnimationFrame is not defined,CLOSED,2011-04-15,2011-04-18,,other_nonperf,incidental,,0,,,,,0,,"requestAnimationFrame polyfill missing in README example; discussion of bundling it into three.js, with a page-load performance aside.",
189,https://github.com/mrdoob/three.js/issues/189,Rendering the same scene to two different renderers.,CLOSED,2011-04-26,2015-07-05,Enhancement,correctness_bug,cause_established,,2,GBU-08; O-08,geometry_buffer_updates; other,maintainer_confirmed; maintainer_confirmed,observed_cost; observed_cost,0,,Same scene cannot be rendered by two WebGLRenderers because GL buffers are stored on the objects themselves and are not shareable across contexts; workaround was cloning scenes (expensive). Fixed by #6723.,"mrdoob: ""The buffers are being stored in the objects themselves. So a new renderer tries to use the buffers that have been created in another context."" || alteredq: ""You can't really share WebGL objects between multiple WebGL contexts"""
202,https://github.com/mrdoob/three.js/issues/202,Apply different materials to faces of a plane,CLOSED,2011-05-12,2011-05-17,Question,perf_question_or_help,incidental,,0,,,,,0,,Per-face material changes not applied at runtime in WebGLRenderer; side discussion notes raycasting uses static geometry because morph/skinning is done on GPU and CPU blending would be needed.,
203,https://github.com/mrdoob/three.js/issues/203,Feedback/Optimization,CLOSED,2011-05-13,2011-05-26,Question,perf_question_or_help,cause_asserted_unverified,,1,TS-02,transparency_sorting,speculative,proposed_optimization,0,,User asks why their particle demo is slow; mrdoob suggests removing particle sorting.,"mrdoob: ""If you're doing everything using additive blending try removing this `particles.sortParticles = true;`"""
213,https://github.com/mrdoob/three.js/issues/213,Text for Three.js,CLOSED,2011-05-22,2011-05-27,Enhancement,perf_feature_request,no_mechanism,,0,,,,,0,,"Adding 3D text geometry support; performance mentioned only in passing (doubleSided, Face3 vs Face4 questions never answered with a cost mechanism).",
225,https://github.com/mrdoob/three.js/issues/225,Creating HUD over 3d Scene (WebGLRenderer) ?,CLOSED,2011-05-29,2011-06-02,Question,perf_question_or_help,cause_asserted_unverified,,2,RTP-08; O-04,render_target_postprocessing; other,speculative; reporter_asserted,hypothetical; observed_cost,0,,How to build a HUD over a 3D scene; later comments discuss relative costs of HTML overlay compositing vs a second full-screen render pass.,"trinketmage: ""cause a second renderer of size of screen multiplied by the pixel ratio"" || there is a ""compositing cost"" but as long as you don't have too much overlay (if i use 4 times/ 5 times sizes of screen overlays it get laggy on Chrome with Mac Book Pro Retina mid 2015)"
228,https://github.com/mrdoob/three.js/issues/228,Depth-of-field and ribbons examples performance regress,CLOSED,2011-05-30,2011-05-30,,perf_regression_report,cause_established,,1,CGSS-03,cpu_gpu_sync_stall,measured,observed_cost,0,,"DOF and ribbons examples regressed ~2x in fps; profiling showed gl.finish() calls, added for sync reasons, consumed 70-80% of frame time.",alteredq: 'I tried to profile this and it seems culprit is `finish` - takes 70 - 80 % of time!' and 'webgl_interactive_cubes` went from 26 to 47 fps'
242,https://github.com/mrdoob/three.js/issues/242,THREE.SceneUtils.addMesh,CLOSED,2011-06-07,2011-06-07,,perf_question_or_help,incidental,,0,,,,,0,,Question about geometry semantics and instancing; answer is to reuse one Geometry across many Meshes to save memory.,
244,https://github.com/mrdoob/three.js/issues/244,Drawing lattice structures fast,CLOSED,2011-06-08,2011-06-09,Question,perf_question_or_help,cause_established,,2,DCO-04; RP-06,draw_call_overhead; raycasting_picking,maintainer_confirmed; speculative,observed_cost; hypothetical,0,,"Lattice of many Line and ParticleSystem objects is slow; advice is to merge into single Line/ParticleSystem geometries to cut draw calls, and use GPU color-id picking instead of per-object colliders.","alteredq: 'the key to performance is to put many vertices into single `ParticleSystem` object' || alteredq: 'If you do this extra render pass just on click event, performance should be pretty good.'"
275,https://github.com/mrdoob/three.js/issues/275,How to copy a mesh,CLOSED,2011-06-17,2011-06-17,,perf_question_or_help,incidental,,0,,,,,0,,How to clone a mesh without reloading geometry; answer: share one Geometry across multiple Meshes.,
280,https://github.com/mrdoob/three.js/issues/280,Approach for Multiple Small Viewports in Three.js?,CLOSED,2011-06-20,2011-06-21,Question,perf_question_or_help,cause_asserted_unverified,,1,AAM-03,app_api_misuse,speculative,hypothetical,0,,"Asks whether to use many small renderers or one scene with viewports for ~20 3D figures on a page; mrdoob suggests setViewport, noting per-figure renderers cost more memory.","""it'll eat more memory I guess"""
285,https://github.com/mrdoob/three.js/issues/285,Performance question (individual meshes vs merged),CLOSED,2011-06-21,2011-06-28,Question,perf_question_or_help,cause_established,,2,CAH-05; DCO-02,core_algorithmic_hotpath; draw_call_overhead,reporter_asserted; maintainer_confirmed,observed_cost; observed_cost,0,,"Merging 700-800 textured meshes into one geometry performed worse than separate meshes; profiling pointed at per-frame updateObject iterating all geometry groups, and maintainer explained state changes (many materials/textures) dominate; fix is a texture atlas + single material.","body: ""the biggest culprit is the repeated updateObject calls which iterates over all geometrygroups of the merged mesh"" ... ""When I instrument this function to only be evaluated once, performance improves quite a bit"" ... ""about 30 frames per second"" || alteredq: ""state changes are expensive - a lot of simple things will have much worse performance than few complex things"""
291,https://github.com/mrdoob/three.js/issues/291,"Need unminified threecanvas.js to modify it to include camera.right vector, etc.",CLOSED,2011-06-24,2011-06-25,,perf_question_or_help,cause_asserted_unverified,,1,AAM-06,app_api_misuse,reporter_asserted,proposed_optimization,0,,User asks for unminified source; mentions in passing that computing camera look-at/right vectors via cross products each frame is slow. Thread resolves as build/source-location help.,"body: ""I'm having to calculate the lookAt direction vector and the right vector the hard way -- via cross products"""
299,https://github.com/mrdoob/three.js/issues/299,Object intersection - invisible/disappeared faces,CLOSED,2011-06-27,2011-06-27,Question,correctness_bug,cause_asserted_unverified,,1,TS-05,transparency_sorting,speculative,hypothetical,0,,"CanvasRenderer draws faces sorted by face-centroid z, producing wrong order for intersecting cubes; a commenter asserts proper per-triangle splitting/occlusion testing was avoided because it would be too CPU-expensive.","""My assumption as to the cause of this was that the overhead of calculating everything correctly would severely hamper performance"" and ""all of which would take a lot of processing power"""
323,https://github.com/mrdoob/three.js/issues/323,ExtrudeGeometry,CLOSED,2011-07-04,2011-10-07,Enhancement,perf_feature_request,cause_established,,7,PFAG-01; CAH-03; AAM-10; DCO-04; GBU-10; RTP-01; CAH-11,per_frame_allocation_gc; core_algorithmic_hotpath; app_api_misuse; draw_call_overhead; geometry_buffer_updates; render_target_postprocessing; core_algorithmic_hotpath,maintainer_confirmed; measured; maintainer_confirmed; maintainer_confirmed; maintainer_confirmed; speculative; speculative,observed_cost; observed_cost; observed_cost; proposed_optimization; hypothetical; hypothetical; hypothetical,0,,"Design discussion for splitting extrusion out of TextGeometry into ExtrudeGeometry; profiling revealed GC churn from temporary vectors, an O(n^2) Vector2 comparison loop in triangulateShape, and a lost curveSegments parameter causing over-tessellation. Side discussion on SSAO/AO cost.","alteredq: ""tons of time is spent in garbage collection. I think it may come from creating all these temporary vectors in `ExtrudeGeometry` (both explicitly via ""new"" and implicitly via ""clone"")"" || alteredq: ""refactoring of vertex index finding loops in `Shape.Utils.triangulateShape` to use hashmap (these loops were doing hundreds of thousands Vector2 comparisons"" || alteredq: ""Canvas text example got slow as it was running with default segmentation of 12 instead of application specified 2."" || alteredq: ""createPathGeometry code is not efficient - it should be a single `Line` object for the whole path"" || alteredq: ""generic geometry merging via `GeometryUtils` is quite slow"" || alteredq: ""I guess as they tend to be fragment shader and texture bandwidth heavy?"" || alteredq: ""you could do this part in JavaScript, though it could be slow"""
325,https://github.com/mrdoob/three.js/issues/325,Problems generating terrains procedurally,CLOSED,2011-07-05,2011-07-15,Question,perf_question_or_help,cause_established,,2,SGS-01; DBD-02,scene_graph_scale; device_browser_driver,maintainer_confirmed; speculative,observed_cost; hypothetical,0,,"1000x1000 PlaneGeometry terrain (2M triangles) exhausts memory in Chrome stable and takes very long to initialize; maintainer says such geometry counts are impractical and recommends chunking/LOD/streaming, noting integrated Intel GPUs choke on large geometries.","""Chrome stable doesn't even allow to run terrain with 1000 x 1000 grid, it tells \""script on the page used too much memory\""."" and ""Chrome canary runs 1000 x 1000 terrain ok, just it takes a long time to initialize."" || ""Some GPUs, like integrated Intel ones may have troubles with large geometries."""
341,https://github.com/mrdoob/three.js/issues/341,"Google Closure Compiler ""externs"" file for three.js ?",CLOSED,2011-07-10,2011-09-02,Question,perf_feature_request,cause_asserted_unverified,,1,BSLT-07,bundle_size_load_time,speculative,proposed_optimization,0,,"Long-running request for a Closure Compiler externs file / advanced-optimizations support; contributors argue advanced mode's inlining, constant folding and renaming would reduce lookup cost and code size, but this is never measured and mrdoob rejects per-function annotations.","tschw: ""Lookup is comparatively expensive in JavaScript. The combination of renaming, constant folding and inlining will remove a lot of lookup plus numerous function calls."""
342,https://github.com/mrdoob/three.js/issues/342,Dynamic faces,CLOSED,2011-07-10,2011-07-14,Question,perf_question_or_help,cause_established,,1,GBU-04,geometry_buffer_updates,maintainer_confirmed,hypothetical,0,,"Adding faces at runtime doesn't update WebGLRenderer; maintainer explains VBOs are fixed-size so adding faces requires recreating buffers, which is far slower than updating existing ones, and suggests pre-allocated face pools or renderBufferImmediate.","alteredq: ""this would require creating new buffers, which is much slower than just setting values in existing buffers (this is what dirty flags are used for)"""
349,https://github.com/mrdoob/three.js/issues/349,Attribute for each vertex (Particle) in Vertex shader,CLOSED,2011-07-12,2011-07-14,Enhancement,perf_feature_request,cause_established,,1,DCO-04,draw_call_overhead,maintainer_confirmed,hypothetical,1,"gl.POINTS require one vertex per quad vs at least 4 (indexed) or 6 (unindexed) vertices per quad, reducing vertex/buffer cost",Custom attributes not supported for ParticleSystem; added. Discussion establishes draw-call cost differences between Sprite and ParticleSystem.,"alteredq: ""Every single `Sprite` is one draw call (including expensive state setting)."""
368,https://github.com/mrdoob/three.js/issues/368,Few questions on Canvas particles,CLOSED,2011-07-19,2011-07-20,,perf_question_or_help,cause_established,,2,CAH-16; SGS-01,core_algorithmic_hotpath; scene_graph_scale,maintainer_confirmed; maintainer_confirmed,observed_cost; observed_cost,0,,CanvasRenderer redraws whole scene each render; 5000 particles too many for CanvasRenderer. Caching to an offscreen canvas suggested.,"mrdoob: ""Nope... how do we know if there aren't particles on top of it that need to be redrawn too?"" || mrdoob: ""5000 particles is a lot of particles for `CanvasRenderer` I'm afraid."""
375,https://github.com/mrdoob/three.js/issues/375,Particles vs ParticleSystem,CLOSED,2011-07-24,2011-09-05,Question,perf_question_or_help,cause_established,,2,TS-02; TUD-13,transparency_sorting; texture_upload_decode,maintainer_confirmed; reporter_asserted,proposed_optimization; observed_cost,0,,"Particle vs ParticleSystem performance question; sortParticles identified as a major performance drain, dirty flags needed for dynamic updates.","alteredq: ""But if you don't need sorting, it's better not to have it enabled, it's a major performance drain."" || zz85: ""The tests results seems to show that imagedata performances quite good."" with http://jsperf.com/texture-sources (dead link)"
387,https://github.com/mrdoob/three.js/issues/387,Models don't loaded properly,CLOSED,2011-07-29,2011-10-07,Question,perf_defect_report,cause_established,,1,LPC-01,loader_parse_cost,maintainer_confirmed,observed_cost,0,,"Loading 36 large JSON models (105MB) crashes the tab; missing close() in worker-based JSONLoader models keeps workers alive, plus browser memory limits.","alteredq: ""Not having `close()` in JSONs will cause loading to hang for a long time when having many models (as it takes a while for Workers to get garbage collected and there is limited pool of Workers)."""
397,https://github.com/mrdoob/three.js/issues/397,Ray intersection instability,CLOSED,2011-08-04,2011-08-04,Question,correctness_bug,incidental,,0,,,,,0,,"Ray intersection instability from unprojecting with z=0.5; precision issue, fixed by using z=1. Only 'performance' appears in a pasted page title.",
403,https://github.com/mrdoob/three.js/issues/403,Texture reuse,CLOSED,2011-08-04,2011-08-29,Question,perf_question_or_help,cause_asserted_unverified,,1,TUD-02,texture_upload_decode,reporter_asserted,observed_cost,0,,Question on reusing textures across objects; duplicate texture instances from same URL cause redundant GPU uploads/memory.,"russellsavage: ""it reuses the textures that share the same url. This has greatly increased performance for me"""
413,https://github.com/mrdoob/three.js/issues/413,"Model Object JSON ""Array Initialisor too large"" - Only Firefox",CLOSED,2011-08-09,2011-11-20,Enhancement,perf_defect_report,no_mechanism,,0,,,,,0,,Firefox 'array initialiser too large' for huge model JSON; workaround emits vertices as a string parsed at runtime. mrdoob asked for timing comparison but none was provided.,
420,https://github.com/mrdoob/three.js/issues/420,WebGLRenderer Vertex Colors not updating,CLOSED,2011-08-12,2011-08-14,Question,perf_question_or_help,cause_asserted_unverified,,1,DCO-02,draw_call_overhead,reporter_asserted,observed_cost,0,,Vertex colors not updating without mesh.dynamic + __dirtyColors; reporter also mentions per-section materials causing performance issues.,"""I was originally doing this by setting different materials for each section of the tree, but that was causing some performance issues."""
423,https://github.com/mrdoob/three.js/issues/423,Naming Mesh and Particle,CLOSED,2011-08-13,2011-08-19,Question,other_nonperf,incidental,,0,,,,,0,,API naming discussion for Mesh/Particle/Sprite; performance mentioned only as an aside about particle system code paths.,
429,https://github.com/mrdoob/three.js/issues/429,Textures slightly inconstant on faces,CLOSED,2011-08-15,2011-08-15,Question,perf_question_or_help,cause_established,,1,DCO-07,draw_call_overhead,maintainer_confirmed,hypothetical,0,,"CanvasRenderer texture affine transform artifact; workaround is higher tessellation, which costs performance.","alteredq: ""you can try to have higher tessellation of the geometry ... though performance will be slower"""
430,https://github.com/mrdoob/three.js/issues/430,How to control culling in WebGLRenderer,CLOSED,2011-08-15,2011-08-15,Question,perf_question_or_help,cause_established,,0,,,,,0,,Objects disappearing due to stale/incorrect bounding sphere used for frustum culling; also note backface culling default improves speed.,
456,https://github.com/mrdoob/three.js/issues/456,Canvas PointLight (rotation within a Object3D dummy),CLOSED,2011-08-25,2012-02-10,Enhancement,correctness_bug,no_mechanism,,0,,,,,0,,PointLight not following parent Object3D rotation; reporter wonders about perf cost of manual world-matrix updates but no mechanism given.,
465,https://github.com/mrdoob/three.js/issues/465,How to create a custom color for mesh faces,CLOSED,2011-08-26,2011-08-29,Help (please use the forum),perf_question_or_help,cause_asserted_unverified,,1,DCO-02,draw_call_overhead,speculative,hypothetical,0,,Per-face colors; suggestion to use one material per face is noted as fine for CanvasRenderer but a 'huge no-no' for WebGLRenderer.,"alteredq: ""This would be a huge no-no for WebGLRenderer but for CanvasRenderer I think it shouldn't affect the performance."""
478,https://github.com/mrdoob/three.js/issues/478,Web Worker compatibility,CLOSED,2011-09-01,2011-09-05,Enhancement,perf_feature_request,cause_asserted_unverified,,1,AAM-14,app_api_misuse,reporter_asserted,proposed_optimization,0,,Request to make three.js importable in Web Workers so heavy geometry generation doesn't block the main thread; blocked by window references.,"""We had to tweak THREE.js to remove all usages of window object, to be able to use it in the worker."""
492,https://github.com/mrdoob/three.js/issues/492,Quick and Dirty Vertex Shader,CLOSED,2011-09-04,2011-09-04,Question,perf_question_or_help,no_mechanism,,0,,,,,0,,User hitting CanvasRenderer limits asks about vertex shaders; answer is to use nested Object3D scaling. No cost mechanism established.,
507,https://github.com/mrdoob/three.js/issues/507,Implementing chunked LOD terrain system & speed,CLOSED,2011-09-06,2012-01-13,Question,perf_question_or_help,cause_asserted_unverified,,2,SGS-02; DBD-01,scene_graph_scale; device_browser_driver,reporter_asserted; upstream_bug,observed_cost; observed_cost,0,,Chunked LOD terrain: traversing the whole quadtree each frame to reset .visible flags was the bottleneck; solved with immediate-mode rendering and shared geometry with per-chunk uniforms.,"NINE78: ""meant traversing the entire quadtree to reset the attributes"" || chandlerprall: ""Something in ANGLE at the time was making geometry creation slow after a certain number of polygons were created"""
509,https://github.com/mrdoob/three.js/issues/509,Raytracer / Pathtracer for Three.js,CLOSED,2011-09-07,2014-05-11,Question,perf_feature_request,cause_asserted_unverified,,2,CAH-03; SPC-01,core_algorithmic_hotpath; shader_program_compilation,speculative; reporter_asserted,hypothetical; hypothetical,0,,Proposal for a ray/path tracing renderer; discussion of why tracing arbitrary triangle meshes in fragment shaders is slow without acceleration structures.,"a data structure like kd-tree would be quite tricky to implement -- actually I'm not sure if it'd be possible on the current GLSL version or if it'd help performance || skrat: ""adding or removing would require shader recompile"""
516,https://github.com/mrdoob/three.js/issues/516,Resize Performance Hack,CLOSED,2011-09-09,2011-09-15,Enhancement,perf_feature_request,cause_established,,1,FOR-03,fillrate_overdraw_resolution,reporter_asserted,observed_cost,0,,"Proposal for rendering at half resolution and CSS-upscaling the canvas to cut fragment/rasterization cost; measured ~5fps gain, mrdoob prefers doing it by hand.","body: ""it seems I'm able to get about 5fps improvements for canvas renderer for 2x scaling in my particles example in ff and chrome"""
549,https://github.com/mrdoob/three.js/issues/549,Fast Renderer for iPhone/iPad,CLOSED,2011-09-17,2011-11-22,Enhancement,perf_feature_request,cause_established,,1,DBD-08,device_browser_driver,reporter_asserted,observed_cost,0,,Request for a fast renderer on iOS since WebGL is unavailable and CanvasRenderer is too slow; CSS3D suggested as backend.,"body: ""WebGL doesn´t work and the CanvasRenderer is very, very, very slow."""
568,https://github.com/mrdoob/three.js/issues/568,Question about antialiasing when using postprocessing,CLOSED,2011-09-22,2011-09-23,Question,perf_question_or_help,cause_established,,1,RTP-06,render_target_postprocessing,maintainer_confirmed,observed_cost,0,,"Render targets lack browser antialiasing; FXAA added as a postprocess, with quality/performance tradeoff discussed.","alteredq: ""shader was 4x longer and used about twice as many texture samples, which was causing noticeable framerate drop for fullscreen render targets"""
598,https://github.com/mrdoob/three.js/issues/598,Impossible to add light at runtime?,CLOSED,2011-09-30,2012-03-31,Enhancement,perf_feature_request,cause_established,,2,SPC-01; LUU-04,shader_program_compilation; lights_uniforms_ubo,maintainer_confirmed; speculative,hypothetical; hypothetical,0,,Adding lights at runtime requires shader rebuild; discussion of the cost of recompiling shaders and why three.js leaves the trigger to the app.,"alteredq: ""Shaders compilation is potentially very costly"" ... ""everything may freeze for a while"" || samuelgrigolato: ""Here we have a maximum of 10 cycles wasted per for structure on older hardware"""
629,https://github.com/mrdoob/three.js/issues/629,webgl_performance.html leaving trails on the screen,CLOSED,2011-10-07,2011-10-07,,correctness_bug,incidental,,0,,,,,0,,Trails in webgl_performance.html example due to autoClearColor=false; 'performance' is only the example filename.,
642,https://github.com/mrdoob/three.js/issues/642,Limit framerate and Frame-skipping,CLOSED,2011-10-11,2011-10-11,Question,perf_question_or_help,cause_established,,4,GBU-03; PFAG-02; AAM-02; O-02,geometry_buffer_updates; per_frame_allocation_gc; app_api_misuse; other,measured; measured; reporter_asserted; measured,observed_cost; observed_cost; observed_cost; proposed_optimization,0,,"How to cap framerate/skip frames; wide-ranging discussion of timers, getters, GC and buffer upload costs.","alteredq: ""25 fps with just dirty flag (new buffers are sent to GPU every frame)"" || alteredq: ""7 fps with just JS computation (new values are computed every frame but not sent to GPU)"" || benbucksch: ""The CPU usage drops from 2 cores with 100% each to almost nothing"" || alteredq: ""Here regular properties are noticeably faster (63x in Chrome, 3x in Firefox):"""
